family,stage,level,variant,cue,resource,intervention,baseline,post,effect,max_plastic_change,wall_seconds,peak_rss_bytes
generic,3,3,primary,A,0.8,freeze_plasticity,0.018577808406869734,0.018577808406869734,,0.0,178.70640137499868,981336064
generic,3,3,primary,A,0.8,intact,0.018577710506305876,0.018565116719773105,,0.002694015788081927,215.2550842089986,981336064
generic,3,3,primary,A,0.8,matched_control,0.018577662073451177,0.018565068483280274,,0.002693974100460239,204.6686797500006,981336064
generic,3,3,primary,A,0.8,silence_dan,0.01858336126584129,0.01858336126584129,,0.0,231.80305979200057,981336064
generic,3,3,primary,B,0.2,intact,0.01628784586093383,0.016283534305630357,,0.0007601327135641212,219.2610032090015,981336064
generic,3,3,primary,B,0.8,intact,0.016285170628329373,0.01627510988062068,,0.0017732621496914236,303.11235904200294,981336064
class_consistent,1,1,primary,A,0.2,intact,0.06926468792032248,0.030354689516010242,0.5032753727700673,0.8410081746734701,18.21746008300397,644612096
class_consistent,1,1,primary,B,0.2,intact,0.11067908504560363,0.057990927811628366,0.3781552755977097,0.8409866977169542,17.744963500001177,644612096
class_consistent,1,2,context_cut,A,0.2,intact,0.07078002072329878,0.031242881346135586,0.49945214708266905,0.8410209048044506,8.488691665996157,642727936
class_consistent,1,2,context_double,A,0.2,intact,0.06123912721056364,0.02559472263578913,0.5272624887621399,0.8407868929522744,33.872800500001176,642727936
class_consistent,1,2,context_half,A,0.2,intact,0.07068949760605162,0.031191005105432178,0.4996613811511339,0.8410201694190484,35.89985570799763,642727936
class_consistent,1,2,full_normalization,A,0.2,intact,0.010713345155063392,0.008776347203988968,0.1682700138022153,0.4518588022619372,34.06777833299566,642727936
class_consistent,1,2,glutamate_inhibitory,A,0.2,intact,0.0692598758939387,0.030350458756994755,0.5032975946750098,0.8410080834314124,35.737436666000576,642727936
class_consistent,1,2,primary,A,0.2,freeze,0.06926453275571637,0.06926453275571637,0.0,0.0,32.961967084003845,642727936
class_consistent,1,2,primary,A,0.2,intact,0.06926453275571637,0.03035466627519519,0.5032683489474775,0.841008174704491,30.95432854200044,642727936
class_consistent,1,2,primary,A,0.2,matched_dan,0.06926453275571637,0.03035466627519519,0.5032683489474775,0.841008174704491,33.8341417920019,642727936
class_consistent,1,2,primary,A,0.2,silence_dan,0.06926453275571637,0.06926453275571637,0.0,0.0,33.35914912500448,642727936
class_consistent,1,2,primary,B,0.2,intact,0.11067097389570849,0.05798099216301174,0.3782035163861913,0.8409861566029146,32.40967704200011,642727936
