id,name,type,skid
14844269,Putative Mi1 8268565567 CL,neuron,14844268
14844639,Putative Mi1 7741385269 CL,neuron,14844638
14844668,Putative Mi1 8132930485 CL,neuron,14844667
14844721,Putative Mi1 8394594807 CL,neuron,14844720
14844833,Putative Mi1 6839935347 CL,neuron,14844832
14844860,Putative Mi1 7622362555 CL,neuron,14844859
14845075,Putative Mi1 7749040205 CL,neuron,14845074
14845103,Putative Mi1 9578793567 CL,neuron,14845102
14845722,Putative Mi1 8529572181 CL,neuron,14845721
14846178,Putative Mi1 9573041916 CL,neuron,14846177
14846454,Putative Mi1 7871246485 CL,neuron,14846453
14846572,Putative Mi1 7761816884 CL,neuron,14846571
14850690,Putative Mi1 8670306268 CL,neuron,14850689
14851277,Putative Mi1 8663896760 CL,neuron,14851276
14851334,Putative Mi1 10373985118 CL,neuron,14851333
14851354,Putative Mi1 10239640825 CL,neuron,14851353
14851530,Putative Mi1 11937599416 CL,neuron,14851529
14851882,Putative Mi1 12064280974 CL,neuron,14851881
14852107,Putative Mi1 10231995765 CL,neuron,14852106
14852296,Putative Mi1 10487229817 CL,neuron,14852295
14852585,Putative Mi1 11793028493 CL,neuron,14852584
14855118,Putative Mi1 9705448947 CL,neuron,14855117
14855256,Putative Mi1 10353565552 CL,neuron,14855255
14855351,Putative Mi1 11397658439 CL,neuron,14855350
14855384,Putative Mi1 10741901701 CL,neuron,14855383
14855473,Putative Mi1 11134076712 CL,neuron,14855472
14855819,Putative Mi1 9694598308 CL,neuron,14855818
14855868,Putative Mi1 9302423328 CL,neuron,14855867
14855926,Putative Mi1 8646033924 CL,neuron,14855925
14856321,Putative Mi1 9967097484 CL,neuron,14856320
14856348,Putative Mi1 10625448672 CL,neuron,14856347
14856531,Putative Mi1 11675949332 CL,neuron,14856530
14858812,Putative Mi1 8421415622 CL,neuron,14858811
14858931,Putative Mi1 10381065225 CL,neuron,14858930
14858994,Putative Mi1 8688207944 CL,neuron,14858993
14859081,Putative Mi1 8560253902 CL,neuron,14859080
14859177,Putative Mi1 10384866279 CL,neuron,14859176
14859874,Putative Mi1 10518583483 CL,neuron,14859873
14860199,Putative Mi1 11692593708 CL,neuron,14860198
14862700,Putative Mi1 10912695281 CL,neuron,14862699
14862873,Putative Mi1 10899908066 CL,neuron,14862872
14862896,Putative Mi1 10376545889 CL,neuron,14862895
14862999,Putative Mi1 11681702268 CL,neuron,14862998
14863440,Putative Mi1 11942088293 CL,neuron,14863439
14863805,Putative Mi1 11685554771 CL,neuron,14863804
14864325,Putative Mi1 12206951083 CL,neuron,14864324
14864404,Putative Mi1 10258844255 CL,neuron,14864403
14864446,Putative Mi1 8297987528 CL,neuron,14864445
14864607,Putative Mi1 6868095367 CL,neuron,14864606
14864682,Putative Mi1 6866817623 CL,neuron,14864681
14865111,Putative Mi1 8394608529 CL,neuron,14865110
14865151,Putative Mi1 7761874513 CL,neuron,14865150
14865190,Putative Mi1 9344663595 CL,neuron,14865189
14865248,Putative Mi1 8697829606 CL,neuron,14865247
14865823,Putative Mi1 8148924785 CL,neuron,14865822
14865895,Putative Mi1 6317897398 CL,neuron,14865894
14877452,Putative Mi1 6864246608 CL,neuron,14877451
14877504,Putative Mi1 7133601364 CL,neuron,14877503
14879394,Putative Mi1 7759931421 CL,neuron,14879393
14879475,Putative Mi1 7765044524 CL,neuron,14879474
14879555,Putative Mi1 7631953986 CL,neuron,14879554
14879689,Putative Mi1 8681823633 CL,neuron,14879688
14879838,Putative Mi1 10241588871 CL,neuron,14879837
14880473,Putative Mi1 8809115577 CL,neuron,14880472
14882862,Putative Mi1 10631204824 CL,neuron,14882861
14883351,Putative Mi1 8807194423 CL,neuron,14883350
14883522,Putative Mi1 8797603131 CL,neuron,14883521
14883922,Putative Mi1 9713784675 CL,neuron,14883921
14884002,Putative Mi1 8280671468 CL,neuron,14884001
14884202,Putative Mi1 10093778518 CL,neuron,14884201
14884656,Putative Mi1 10613920748 CL,neuron,14884655
14885982,Putative Mi1 10098929068 CL,neuron,14885981
14886413,Putative Mi1 7761866068 CL,neuron,14886412
14886619,Putative Mi1 6846338220 CL,neuron,14886618
14886805,Putative Mi1 6845051911 CL,neuron,14886804
14887119,Putative Mi1 10355470875 CL,neuron,14887118
14887219,Putative Mi1 8658155515 CL,neuron,14887218
14887286,Putative Mi1 8661359157 CL,neuron,14887285
14887944,Putative Mi1 217253137 CL,neuron,14887943
14888180,Putative Mi1 8694618673 CL,neuron,14888179
14888336,Putative Mi1 8695908783 CL,neuron,14888335
14888962,Putative Mi1 8438741743 CL,neuron,14888961
14889028,Putative Mi1 6867472650 CL,neuron,14889027
14889145,Putative Mi1 7392722911 CL,neuron,14889144
14889197,Putative Mi1 8177723162 CL,neuron,14889196
14889468,Putative Mi1 11414918833 CL,neuron,14889467
14889636,Putative Mi1 10508976733 CL,neuron,14889635
14889856,Putative Mi1 8686960644 CL,neuron,14889855
14889941,Putative Mi1 6857198921 CL,neuron,14889940
14889977,Putative Mi1 6861679025 CL,neuron,14889976
14890014,Putative Mi1 6866171051 CL,neuron,14890013
14890070,Putative Mi1 6720955005 CL,neuron,14890069
14890127,Putative Mi1 7766342708 CL,neuron,14890126
14890299,Putative Mi1 6865529522 CL,neuron,14890298
14890377,Putative Mi1 8176426780 CL,neuron,14890376
14890390,Putative Mi1 8962066474 CL,neuron,14890389
14890426,Putative Mi1 9091927317 CL,neuron,14890425
14890465,Putative Mi1 8964633496 CL,neuron,14890464
14890489,Putative Mi1 8672225480 CL,neuron,14890488
14890504,Putative Mi1 8680543969 CL,neuron,14890503
14890515,Putative Mi1 6858488753 CL,neuron,14890514
14892491,Putative Mi1 6729255057 CL,neuron,14892490
14892595,Putative Mi1 6870666130 CL,neuron,14892594
14892629,Putative Mi1 6870667942 CL,neuron,14892628
14892683,Putative Mi1 7261580641 CL,neuron,14892682
14892795,Putative Mi1 11807735126 CL,neuron,14892794
14893501,Putative Mi1 11932490191 CL,neuron,14893500
14893605,Putative Mi1 11672747278 CL,neuron,14893604
14893952,Putative Mi1 10755929146 CL,neuron,14893951
14894645,Putative Mi1 10497457507 CL,neuron,14894644
14894735,Putative Mi1 10507055830 CL,neuron,14894734
14896276,Putative Mi1 10525000061 CL,neuron,14896275
14896464,Putative Mi1 9706713112 CL,neuron,14896463
14896643,Putative Mi1 9709272088 CL,neuron,14896642
14897593,Putative Mi1 11407244883 CL,neuron,14897592
14897695,Putative Mi1 9711184731 CL,neuron,14897694
14897849,Putative Mi1 10359272234 CL,neuron,14897848
14898992,Putative Mi1 9703520896 CL,neuron,14898991
14899077,Putative Mi1 9313273760 CL,neuron,14899076
14899725,Putative Mi1 8783555436 CL,neuron,14899724
14899842,Putative Mi1 9047129793 CL,neuron,14899841
14899931,Putative Mi1 10095733444 CL,neuron,14899930
14899982,Putative Mi1 9697769866 CL,neuron,14899981
14900274,Putative Mi1 10874325947 CL,neuron,14900273
14900529,Putative Mi1 9695226152 CL,neuron,14900528
14904433,Putative Mi1 8129090512 CL,neuron,14904432
14905882,Putative Mi1 6316634993 CL,neuron,14905881
14906100,Putative Mi1 6830365932 CL,neuron,14906099
14906167,Putative Mi1 8397810147 CL,neuron,14906166
14906421,Putative Mi1 9303705971 CL,neuron,14906420
14906695,Putative Mi1 8653040737 CL,neuron,14906694
14906763,Putative Mi1 8654323333 CL,neuron,14906762
14906841,Putative Mi1 7999850410 CL,neuron,14906840
14907775,Putative Mi1 8665189270 CL,neuron,14907774
14907805,Putative Mi1 8662632436 CL,neuron,14907804
14907895,Putative Mi1 7881467607 CL,neuron,14907894
14908089,Putative Mi1 7756717291 CL,neuron,14908088
14908375,Putative Mi1 8669039774 CL,neuron,14908374
14908505,Putative Mi1 7370931722 CL,neuron,14908504
17591158,Putative Mi1 8546810385 CL,neuron,17591157
14908859,Putative Mi1 10007471307 CL,neuron,14908858
14909170,Putative Mi1 9745807169 CL,neuron,14909169
14909297,Putative Mi1 9746428102 CL,neuron,14909296
14909639,Putative Mi1 9747711096 CL,neuron,14909638
14909701,Putative Mi1 9875676672 CL,neuron,14909700
14923391,Putative Mi1 6842496303 CL,neuron,14923390
14923927,Putative Mi1 5142023910 CL,neuron,14923926
14924053,Putative Mi1 6838050243 CL,neuron,14924052
14924242,Putative Mi1 7494463426 CL,neuron,14924241
