root_id,hemisphere,type,column_id,x,y,p,q,annotation_v3_1_0_type,type_match,lens_index,retinal_direction,experimental_screen_transform
720575940615508802,left,T4b,716,4,-6,-7,1,T4b,True,,,
720575940615512482,right,T4c,556,0,10,5,5,T4c,True,,,
720575940615512898,right,T4a,658,1,20,9,11,T4a,True,,,
720575940615518314,left,T5a,645,-4,27,17,10,T5a,True,,,
720575940615524806,right,T4d,429,-2,14,9,5,T4d,True,,,
720575940615541654,right,T4a,643,6,14,1,13,T4a,True,,,
720575940615545922,left,T4a,101,-7,6,10,-4,T4a,True,,,
720575940615547458,left,T4a,145,0,4,2,2,T4a,True,,,
720575940615553430,left,T5d,340,-4,17,12,5,T5d,True,,,
720575940615554975,left,T5a,483,2,-7,-6,-1,T5a,True,,,
720575940615556246,left,T4c,226,5,19,4,15,T4c,True,,,
720575940615556255,right,T5b,710,4,-25,-17,-8,T5b,True,,,
720575940615558367,left,T4a,343,-3,27,16,11,T4a,True,,,
720575940615560278,right,T5b,257,2,21,8,13,T5b,True,,,
720575940615564354,right,T5d,570,2,25,10,15,T5d,True,,,
720575940615571423,left,T4d,695,-6,10,11,-1,T4d,True,,,
720575940615577494,left,T4d,735,1,-23,-13,-10,T4d,True,,,
720575940615578783,left,T5a,485,-3,-3,1,-4,T5a,True,,,
720575940615580831,right,T5d,14,0,-27,-14,-13,T5d,True,,,
720575940615583099,left,T5b,395,0,-22,-11,-11,T5b,True,,,
720575940615590250,left,T4d,187,3,21,7,14,T4d,True,,,
720575940615594399,left,T4a,570,2,25,10,15,T4a,True,,,
720575940615598267,right,T4b,88,7,4,-5,9,T4b,True,,,
720575940615602107,right,T4b,464,4,0,-4,4,T4b,True,,,
720575940615604802,left,T4d,490,-5,6,8,-2,T4d,True,,,
720575940615610930,right,T4c,228,-7,1,7,-6,T4c,True,,,
720575940615611846,right,T5c,119,-2,6,5,1,T5c,True,,,
720575940615616012,left,T5b,722,6,-15,-14,-1,T5b,True,,,
720575940615618134,right,T5c,61,-4,-4,2,-6,T5c,True,,,
720575940615618354,right,T5a,162,-4,-2,3,-5,T5a,True,,,
720575940615620876,right,T4b,315,-3,-6,0,-6,T4b,True,,,
720575940615624716,left,T5b,50,-2,21,12,9,T5b,True,,,
720575940615624972,left,T4d,754,-1,-13,-6,-7,T4d,True,,,
720575940615625026,right,T4b,293,4,-17,-13,-4,T4b,True,,,
720575940615628486,left,T5b,266,-1,-25,-12,-13,T5b,True,,,
720575940615630934,right,T4b,763,-5,14,12,2,T4b,True,,,
720575940615643442,right,T4d,275,-8,-1,7,-8,T4d,True,,,
720575940615645663,left,T4b,346,-7,-9,2,-11,T4b,True,,,
720575940615647634,left,T4a,414,4,21,6,15,T4a,True,,,
720575940615655234,left,T5b,66,2,15,5,10,T5b,True,,,
720575940615658508,right,T5d,688,-7,10,12,-2,T5d,True,,,
720575940615665458,right,T5b,240,-4,-3,2,-5,T5b,True,,,
720575940615666794,left,T5b,273,-6,23,17,6,T5b,True,,,
720575940615674262,right,T5b,393,-1,22,12,10,T5b,True,,,
720575940615678150,right,T5d,443,-6,4,8,-4,T5d,True,,,
720575940615679850,left,T5c,463,5,17,3,14,T5c,True,,,
720575940615685278,right,T4b,145,0,4,2,2,T4b,True,,,
720575940615686486,right,T4d,326,2,16,6,10,T4d,True,,,
720575940615686506,left,T5a,396,-1,10,6,4,T5a,True,,,
720575940615688770,right,T4d,116,-1,-8,-3,-5,T4d,True,,,
720575940615688810,left,T4a,573,4,14,3,11,T4a,True,,,
720575940615693766,right,T5d,479,-2,10,7,3,T5d,True,,,
720575940615697932,right,T5c,607,1,18,8,10,T5c,True,,,
720575940615700492,right,T5a,422,-7,-4,5,-9,T5a,True,,,
720575940615707714,left,T5a,79,2,1,-2,3,T5a,True,,,
720575940615708266,right,T4b,700,5,15,2,13,T4b,True,,,
720575940615711338,right,T4b,759,7,14,0,14,T4b,True,,,
720575940615711650,right,T5d,73,2,2,-1,3,T5d,True,,,
720575940615720350,right,T4a,770,5,4,-3,7,T4a,True,,,
720575940615730026,left,T5d,69,1,8,3,5,T5d,True,,,
720575940615730875,right,T5a,313,7,3,-6,9,T5a,True,,,
720575940615731131,right,T4a,313,7,3,-6,9,T4a,True,,,
720575940615733516,left,T5b,741,-2,-14,-5,-9,T5b,True,,,
720575940615741145,right,T4c,523,2,14,5,9,T4c,True,,,
720575940615743371,left,T4b,649,-1,5,3,2,T4b,True,,,
720575940615745548,right,T5c,201,-8,9,12,-3,T5c,True,,,
720575940615747122,left,T5b,762,0,14,7,7,T5b,True,,,
720575940615749307,left,T5d,118,3,1,-3,4,T5d,True,,,
720575940615753099,left,T5d,679,4,18,5,13,T5d,True,,,
720575940615757122,left,T4d,12,-7,9,11,-2,T4d,True,,,
720575940615758130,right,T4d,158,3,-5,-6,1,T4d,True,,,
720575940615766923,left,T4a,400,1,-29,-16,-13,T4a,True,,,
720575940615779807,right,T4b,698,6,-7,-10,3,T4b,True,,,
720575940615782962,right,T4d,56,1,-13,-8,-5,T4d,True,,,
720575940615788603,right,T5d,598,2,-18,-11,-7,T5d,True,,,
720575940615788742,right,T5c,481,4,-8,-8,0,T5c,True,,,
720575940615794738,right,T4a,18,5,-16,-13,-3,T4a,True,,,
720575940615796895,left,T4a,15,2,-3,-4,1,T4a,True,,,
720575940615798923,right,T4d,738,-3,13,9,4,T4d,True,,,
720575940615800114,right,T4a,171,6,-20,-16,-4,T4a,True,,,
720575940615801542,left,T4a,715,4,10,1,9,T4a,True,,,
720575940615803807,right,T4c,409,0,-3,-2,-1,T4c,True,,,
720575940615803954,right,T4b,773,5,-19,-15,-4,T4b,True,,,
720575940615806367,left,T4d,77,2,-5,-5,0,T4d,True,,,
720575940615809211,right,T4d,686,5,-22,-16,-6,T4d,True,,,
720575940615809330,left,T5b,628,0,0,0,0,T5b,True,,,
720575940615810098,left,T4a,67,-2,-13,-5,-8,T4a,True,,,
720575940615811487,left,T4d,336,0,23,11,12,T4d,True,,,
720575940615816635,right,T4a,225,2,-26,-15,-11,T4a,True,,,
720575940615816863,right,T5c,367,-6,-15,-2,-13,T5c,True,,,
720575940615817578,left,T4a,434,-3,7,6,1,T4a,True,,,
720575940615819323,left,T4c,439,-3,-9,-2,-7,T4c,True,,,
720575940615819963,left,T5b,125,5,9,-1,10,T5b,True,,,
720575940615826363,left,T4d,544,3,-13,-10,-3,T4d,True,,,
720575940615837746,right,T5c,763,-5,14,12,2,T5c,True,,,
720575940615838770,right,T5d,46,-5,15,12,3,T5d,True,,,
720575940615841346,left,T5a,295,-2,29,16,13,T5a,True,,,
720575940615846879,left,T5d,99,4,15,3,12,T5d,True,,,
720575940615851167,left,T5d,450,2,-9,-7,-2,T5d,True,,,
720575940615865650,left,T4c,427,5,-18,-14,-4,T4c,True,,,
720575940615872874,left,T4d,235,4,11,1,10,T4d,True,,,
720575940615874207,left,T4d,70,-4,21,14,7,T4d,True,,,
720575940615880607,left,T5d,538,-4,1,4,-3,T5d,True,,,
720575940615882655,left,T4a,455,7,-7,-11,4,T4a,True,,,
720575940615887775,right,T5b,622,-5,20,15,5,T5b,True,,,
